,Unnamed: 0,STATE/UT,MURDER,RAPE,ROBBERY,RIOTS,StateLabel,Time
66,66,ASSAM,11,6,2,26,3,12
67,67,ASSAM,29,14,41,100,3,11
68,68,ASSAM,26,6,21,170,3,12
69,69,ASSAM,17,2,35,44,3,18
70,70,ASSAM,6,14,27,5906,3,8
71,71,BIHAR,17,6,43,750,4,9
72,72,BIHAR,7,0,8,152,4,7
73,73,BIHAR,14,12,28,310,4,8
74,74,BIHAR,4,10,9,134,4,17
75,75,BIHAR,3,8,39,392,4,10
76,76,BIHAR,4,6,7,294,4,17
77,77,BIHAR,6,0,32,680,4,11
78,78,BIHAR,11,0,26,372,4,12
79,79,BIHAR,8,10,55,342,4,8
80,80,BIHAR,15,4,49,480,4,17
81,81,BIHAR,26,16,34,378,4,14
82,82,BIHAR,23,18,37,284,4,17
83,83,BIHAR,20,10,54,834,4,10
84,84,BIHAR,17,6,13,454,4,13
85,85,BIHAR,7,2,13,0,4,19
86,86,BIHAR,7,0,14,268,4,7
87,87,BIHAR,13,12,22,340,4,11
88,88,BIHAR,0,2,30,386,4,10
89,89,BIHAR,7,0,19,18,4,16
90,90,BIHAR,12,10,29,334,4,10
91,91,BIHAR,25,4,10,232,4,11
92,92,BIHAR,1,0,13,186,4,16
93,93,BIHAR,26,2,31,314,4,15
94,94,BIHAR,5,6,17,390,4,16
95,95,BIHAR,24,8,19,730,4,7
96,96,BIHAR,21,2,29,436,4,14
97,97,BIHAR,3,6,15,482,4,12
98,98,BIHAR,13,4,15,26,4,14
99,99,BIHAR,28,0,37,636,4,8
100,100,BIHAR,6,14,18,112,4,14
101,101,BIHAR,17,10,31,366,4,11
102,102,BIHAR,14,14,54,1012,4,18
103,103,BIHAR,24,2,21,22,4,7
104,104,BIHAR,14,18,37,538,4,16
105,105,BIHAR,7,10,8,782,4,12
106,106,BIHAR,6,4,15,312,4,10
107,107,BIHAR,17,18,1,624,4,12
108,108,BIHAR,17,0,33,618,4,18
109,109,BIHAR,28,6,12,272,4,14
110,110,BIHAR,18,2,8,76,4,17
111,111,BIHAR,21,6,15,436,4,16
112,112,BIHAR,26,8,40,478,4,7
113,113,BIHAR,11,0,40,340,4,9
114,114,BIHAR,20,0,43,590,4,13
115,115,BIHAR,13,16,43,17212,4,15
116,116,CHHATTISGARH,13,14,11,30,6,9
117,117,CHHATTISGARH,9,18,37,332,6,14
118,118,CHHATTISGARH,9,8,6,2,6,19
119,119,CHHATTISGARH,23,18,5,28,6,12
120,120,CHHATTISGARH,14,4,0,44,6,13
121,121,CHHATTISGARH,16,8,50,96,6,7
122,122,CHHATTISGARH,2,0,9,8,6,19
123,123,CHHATTISGARH,20,18,23,70,6,12
124,124,CHHATTISGARH,18,18,25,210,6,11
125,125,CHHATTISGARH,7,12,17,26,6,18
126,126,CHHATTISGARH,1,4,5,46,6,11
127,127,CHHATTISGARH,19,10,2,20,6,10
128,128,CHHATTISGARH,3,12,8,134,6,16
129,129,CHHATTISGARH,5,8,6,42,6,17
130,130,CHHATTISGARH,18,6,6,60,6,14
131,131,CHHATTISGARH,20,6,13,68,6,19
132,132,CHHATTISGARH,2,8,58,220,6,13
133,133,CHHATTISGARH,6,16,15,100,6,12
134,134,CHHATTISGARH,15,10,42,206,6,10
135,135,CHHATTISGARH,10,18,38,1742,6,16
136,136,GOA,22,8,10,66,10,9
137,137,GOA,14,16,15,62,10,10
138,138,GOA,6,4,25,128,10,10
139,139,GUJARAT,0,18,12,382,11,17
140,140,GUJARAT,26,10,25,100,11,8
141,141,GUJARAT,6,2,1,20,11,10
142,142,GUJARAT,11,4,25,104,11,15
143,143,GUJARAT,28,6,14,126,11,9
144,144,GUJARAT,7,8,17,88,11,9
145,145,GUJARAT,4,18,48,226,11,12
146,146,GUJARAT,6,10,44,98,11,18
147,147,GUJARAT,25,8,22,128,11,18
148,148,GUJARAT,25,14,29,130,11,18
149,149,GUJARAT,18,0,20,68,11,15
150,150,GUJARAT,26,8,52,176,11,16
151,151,GUJARAT,12,2,19,126,11,16
152,152,GUJARAT,4,4,11,110,11,18
153,153,GUJARAT,28,8,45,196,11,15
154,154,GUJARAT,16,16,0,18,11,9
155,155,GUJARAT,26,4,13,44,11,18
156,156,GUJARAT,22,16,47,188,11,10
157,157,GUJARAT,26,10,19,100,11,15
158,158,GUJARAT,24,6,19,156,11,14
159,159,GUJARAT,15,12,3,16,11,9
160,160,GUJARAT,29,10,31,220,11,19
161,161,GUJARAT,0,0,23,116,11,10
162,162,GUJARAT,8,2,59,254,11,19
163,163,GUJARAT,2,12,28,60,11,14
164,164,GUJARAT,8,2,13,146,11,17
165,165,GUJARAT,4,6,39,302,11,15
166,166,GUJARAT,11,16,21,68,11,18
167,167,GUJARAT,14,18,25,80,11,12
168,168,GUJARAT,15,2,27,14,11,12
169,169,GUJARAT,26,12,31,3860,11,7
170,170,HARYANA,26,2,18,10,12,7
171,171,HARYANA,10,0,19,218,12,11
172,172,HARYANA,8,14,44,266,12,14
173,173,HARYANA,18,14,11,22,12,12
174,174,HARYANA,24,0,5,18,12,12
175,175,HARYANA,9,4,51,156,12,10
176,176,HARYANA,15,0,27,56,12,8
177,177,HARYANA,18,2,25,136,12,8
178,178,HARYANA,7,2,28,142,12,13
179,179,HARYANA,3,12,9,0,12,16
180,180,HARYANA,12,8,16,94,12,18
181,181,HARYANA,20,2,13,0,12,18
182,182,HARYANA,26,2,1,94,12,19
183,183,HARYANA,12,12,5,2,12,15
184,184,HARYANA,13,16,47,70,12,15
185,185,HARYANA,21,2,7,78,12,9
186,186,HARYANA,27,16,29,74,12,14
187,187,HARYANA,7,14,5,48,12,16
188,188,HARYANA,13,10,28,12,12,13
189,189,HARYANA,12,4,9,4,12,17
190,190,HARYANA,1,16,37,1500,12,13
191,191,HIMACHAL PRADESH,8,10,3,152,13,16
192,192,HIMACHAL PRADESH,13,4,1,12,13,8
193,193,HIMACHAL PRADESH,1,0,0,2,13,18
194,194,HIMACHAL PRADESH,2,6,1,52,13,19
195,195,HIMACHAL PRADESH,24,16,4,250,13,16
196,196,HIMACHAL PRADESH,5,12,0,8,13,14
197,197,HIMACHAL PRADESH,13,6,1,54,13,13
198,198,HIMACHAL PRADESH,1,4,1,4,13,12
199,199,HIMACHAL PRADESH,18,12,3,166,13,14
200,200,HIMACHAL PRADESH,14,16,7,244,13,12
201,201,HIMACHAL PRADESH,3,0,4,112,13,12
202,202,HIMACHAL PRADESH,11,4,1,124,13,16
203,203,HIMACHAL PRADESH,6,18,2,76,13,13
204,204,HIMACHAL PRADESH,29,8,28,1256,13,11
205,205,JAMMU & KASHMIR,14,12,16,134,14,12
206,206,JAMMU & KASHMIR,25,2,4,20,14,18
207,207,JAMMU & KASHMIR,24,16,16,292,14,11
208,208,JAMMU & KASHMIR,6,4,0,30,14,7
209,209,JAMMU & KASHMIR,18,14,2,176,14,9
210,210,JAMMU & KASHMIR,0,0,0,0,14,19
211,211,JAMMU & KASHMIR,0,0,0,0,14,18
212,212,JAMMU & KASHMIR,14,14,6,34,14,8
213,213,JAMMU & KASHMIR,24,10,0,100,14,16
214,214,JAMMU & KASHMIR,27,6,4,206,14,7
215,215,JAMMU & KASHMIR,0,0,0,10,14,10
216,216,JAMMU & KASHMIR,16,6,2,86,14,15
217,217,JAMMU & KASHMIR,9,12,17,154,14,9
218,218,JAMMU & KASHMIR,21,12,1,148,14,12
219,219,JAMMU & KASHMIR,3,0,0,10,14,18
220,220,JAMMU & KASHMIR,10,6,0,60,14,19
221,221,JAMMU & KASHMIR,16,14,27,254,14,7
222,222,JAMMU & KASHMIR,1,0,0,0,14,17
223,223,JAMMU & KASHMIR,16,14,4,6,14,16
224,224,JAMMU & KASHMIR,21,6,1,4,14,10
225,225,JAMMU & KASHMIR,6,14,0,12,14,11
226,226,JAMMU & KASHMIR,3,16,59,316,14,7
227,227,JAMMU & KASHMIR,21,0,2,92,14,16
228,228,JAMMU & KASHMIR,25,18,41,2144,14,14
229,229,JHARKHAND,10,12,6,238,15,17
230,230,JHARKHAND,19,4,9,44,15,15
231,231,JHARKHAND,10,12,15,180,15,12
232,232,JHARKHAND,17,4,15,236,15,13
233,233,JHARKHAND,7,4,48,410,15,9
234,234,JHARKHAND,11,4,13,8,15,10
235,235,JHARKHAND,3,14,8,150,15,19
236,236,JHARKHAND,2,2,17,226,15,8
237,237,JHARKHAND,3,4,27,346,15,19
238,238,JHARKHAND,1,14,18,180,15,15
239,239,JHARKHAND,16,18,44,80,15,9
240,240,JHARKHAND,16,2,8,536,15,10
241,241,JHARKHAND,21,0,27,262,15,19
242,242,JHARKHAND,4,2,4,4,15,12
243,243,JHARKHAND,22,16,9,122,15,11
244,244,JHARKHAND,21,4,15,160,15,9
245,245,JHARKHAND,24,4,9,54,15,8
246,246,JHARKHAND,3,4,11,58,15,15
247,247,JHARKHAND,1,6,5,78,15,13
248,248,JHARKHAND,13,10,32,320,15,17
249,249,JHARKHAND,3,6,20,132,15,18
250,250,JHARKHAND,17,0,8,144,15,14
251,251,JHARKHAND,14,14,12,58,15,12
252,252,JHARKHAND,19,14,27,10,15,18
253,253,JHARKHAND,7,14,47,4036,15,17
254,254,KARNATAKA,29,4,3,436,16,12
255,255,KARNATAKA,11,0,44,596,16,13
256,256,KARNATAKA,17,6,32,716,16,15
257,257,KARNATAKA,0,16,47,778,16,18
258,258,KARNATAKA,28,12,20,520,16,11
259,259,KARNATAKA,18,14,36,326,16,8
260,260,KARNATAKA,21,12,21,792,16,12
261,261,KARNATAKA,19,8,9,214,16,8
262,262,KARNATAKA,11,16,10,374,16,13
263,263,KARNATAKA,1,16,20,538,16,19
264,264,KARNATAKA,3,6,8,254,16,13
265,265,KARNATAKA,28,4,26,594,16,7
266,266,KARNATAKA,16,8,34,336,16,14
267,267,KARNATAKA,25,6,5,220,16,12
268,268,KARNATAKA,22,4,13,218,16,16
269,269,KARNATAKA,5,0,1,846,16,7
270,270,KARNATAKA,4,0,23,420,16,12
271,271,KARNATAKA,24,6,10,520,16,17
272,272,KARNATAKA,20,2,6,146,16,12
273,273,KARNATAKA,26,8,3,340,16,15
274,274,KARNATAKA,9,14,25,746,16,14
275,275,KARNATAKA,23,12,8,332,16,19
276,276,KARNATAKA,7,10,28,560,16,9
277,277,KARNATAKA,2,4,32,134,16,12
278,278,KARNATAKA,23,4,0,424,16,14
279,279,KARNATAKA,3,4,13,522,16,7
280,280,KARNATAKA,12,2,11,32,16,9
281,281,KARNATAKA,26,4,15,520,16,19
282,282,KARNATAKA,20,12,27,468,16,19
283,283,KARNATAKA,16,4,12,214,16,9
284,284,KARNATAKA,17,8,5,236,16,15
285,285,KARNATAKA,6,6,7,13372,16,7
286,286,KERALA,22,2,18,838,17,17
287,287,KERALA,22,4,1,12,17,18
288,288,KERALA,14,16,20,1252,17,8
289,289,KERALA,3,8,16,602,17,13
290,290,KERALA,26,4,18,1662,17,8
291,291,KERALA,18,16,9,1366,17,14
292,292,KERALA,11,10,2,1150,17,9
293,293,KERALA,4,4,54,694,17,11
294,294,KERALA,4,18,15,2254,17,11
295,295,KERALA,23,2,11,1326,17,12
296,296,KERALA,15,6,30,1216,17,18
297,297,KERALA,20,4,7,448,17,17
298,298,KERALA,0,2,2,78,17,7
299,299,KERALA,12,4,22,1154,17,11
300,300,KERALA,23,14,44,1784,17,9
301,301,KERALA,15,10,8,380,17,9
302,302,KERALA,22,4,37,16216,17,14
303,303,MADHYA PRADESH,26,14,7,84,19,8
304,304,MADHYA PRADESH,11,8,18,70,19,12
305,305,MADHYA PRADESH,26,10,18,18,19,11
306,306,MADHYA PRADESH,3,2,28,198,19,16
307,307,MADHYA PRADESH,1,12,39,154,19,7
308,308,MADHYA PRADESH,5,2,25,6,19,16
309,309,MADHYA PRADESH,24,10,42,208,19,10
310,310,MADHYA PRADESH,18,6,18,52,19,13
311,311,MADHYA PRADESH,13,12,24,108,19,14
312,312,MADHYA PRADESH,23,4,26,60,19,7
313,313,MADHYA PRADESH,20,16,7,238,19,13
314,314,MADHYA PRADESH,29,16,35,96,19,19
315,315,MADHYA PRADESH,13,0,2,12,19,12
316,316,MADHYA PRADESH,11,8,50,342,19,11
317,317,MADHYA PRADESH,24,18,24,340,19,11
318,318,MADHYA PRADESH,14,16,3,46,19,17
319,319,MADHYA PRADESH,23,10,31,66,19,8
320,320,MADHYA PRADESH,21,8,52,258,19,19
321,321,MADHYA PRADESH,6,4,7,4,19,14
322,322,MADHYA PRADESH,13,16,6,224,19,7
323,323,MADHYA PRADESH,3,0,15,2,19,7
324,324,MADHYA PRADESH,4,8,20,148,19,16
325,325,MADHYA PRADESH,21,10,29,66,19,10
326,326,MADHYA PRADESH,11,6,11,128,19,15
327,327,MADHYA PRADESH,17,14,21,160,19,18
328,328,MADHYA PRADESH,5,8,11,36,19,12
329,329,MADHYA PRADESH,28,2,32,112,19,19
330,330,MADHYA PRADESH,3,10,16,396,19,10
331,331,MADHYA PRADESH,8,0,11,64,19,9
332,332,MADHYA PRADESH,17,14,15,130,19,8
333,333,MADHYA PRADESH,24,8,10,108,19,7
334,334,MADHYA PRADESH,9,18,27,118,19,18
335,335,MADHYA PRADESH,12,10,35,322,19,13
336,336,MADHYA PRADESH,28,0,54,84,19,11
337,337,MADHYA PRADESH,23,2,7,298,19,11
338,338,MADHYA PRADESH,24,2,53,302,19,19
339,339,MADHYA PRADESH,19,16,52,174,19,17
340,340,MADHYA PRADESH,10,4,6,98,19,13
341,341,MADHYA PRADESH,27,6,34,88,19,9
342,342,MADHYA PRADESH,12,0,47,184,19,16
343,343,MADHYA PRADESH,24,2,10,76,19,19
344,344,MADHYA PRADESH,28,4,48,280,19,10
345,345,MADHYA PRADESH,6,4,15,66,19,12
346,346,MADHYA PRADESH,5,18,19,106,19,17
347,347,MADHYA PRADESH,23,12,46,180,19,16
348,348,MADHYA PRADESH,24,18,19,266,19,14
349,349,MADHYA PRADESH,19,10,19,60,19,13
350,350,MADHYA PRADESH,17,4,20,154,19,15
351,351,MADHYA PRADESH,25,2,24,6790,19,15
352,352,MAHARASHTRA,7,8,44,532,20,9
353,353,MAHARASHTRA,4,10,41,198,20,13
354,354,MAHARASHTRA,14,6,48,190,20,15
355,355,MAHARASHTRA,12,4,36,224,20,10
356,356,MAHARASHTRA,6,8,40,260,20,7
357,357,MAHARASHTRA,1,16,49,278,20,8
358,358,MAHARASHTRA,8,4,2,544,20,13
359,359,MAHARASHTRA,2,18,15,126,20,16
360,360,MAHARASHTRA,19,4,27,492,20,7
361,361,MAHARASHTRA,19,6,36,220,20,9
362,362,MAHARASHTRA,18,12,13,172,20,14
363,363,MAHARASHTRA,17,14,15,56,20,14
364,364,MAHARASHTRA,11,6,13,40,20,9
365,365,MAHARASHTRA,6,0,39,192,20,19
366,366,MAHARASHTRA,23,18,30,314,20,18
367,367,MAHARASHTRA,13,12,46,240,20,14
368,368,MAHARASHTRA,24,12,32,258,20,9
369,369,MAHARASHTRA,12,14,31,422,20,9
370,370,MAHARASHTRA,25,14,46,392,20,17
371,371,MAHARASHTRA,12,4,29,26,20,9
372,372,MAHARASHTRA,22,18,51,470,20,15
373,373,MAHARASHTRA,12,4,20,36,20,9
374,374,MAHARASHTRA,11,2,58,360,20,9
375,375,MAHARASHTRA,20,6,33,434,20,12
376,376,MAHARASHTRA,14,12,5,160,20,11
377,377,MAHARASHTRA,25,18,16,278,20,13
378,378,MAHARASHTRA,2,18,36,1036,20,16
379,379,MAHARASHTRA,4,14,2,160,20,18
380,380,MAHARASHTRA,18,12,29,202,20,8
381,381,MAHARASHTRA,19,10,43,296,20,15
382,382,MAHARASHTRA,11,12,38,1806,20,9
383,383,MAHARASHTRA,4,0,4,6,20,15
384,384,MAHARASHTRA,29,4,10,300,20,16
385,385,MAHARASHTRA,23,0,27,208,20,16
386,386,MAHARASHTRA,17,0,14,138,20,11
387,387,MAHARASHTRA,25,4,27,256,20,17
388,388,MAHARASHTRA,27,4,20,186,20,18
389,389,MAHARASHTRA,14,14,4,34,20,19
390,390,MAHARASHTRA,0,12,32,140,20,18
391,391,MAHARASHTRA,11,10,29,324,20,13
392,392,MAHARASHTRA,13,18,26,446,20,11
393,393,MAHARASHTRA,20,10,53,296,20,9
394,394,MAHARASHTRA,0,10,20,348,20,19
395,395,MAHARASHTRA,29,10,17,130,20,14
396,396,MAHARASHTRA,26,12,33,212,20,13
397,397,MAHARASHTRA,19,4,19,13438,20,17
398,398,MANIPUR,29,2,2,22,21,14
399,399,MANIPUR,7,0,4,0,21,10
400,400,MANIPUR,5,2,0,0,21,15
401,401,MANIPUR,29,14,1,48,21,14
402,402,MANIPUR,14,14,2,166,21,17
403,403,MANIPUR,27,0,1,4,21,13
404,404,MANIPUR,2,0,0,0,21,19
405,405,MANIPUR,2,8,6,22,21,9
406,406,MANIPUR,4,0,3,0,21,12
407,407,MANIPUR,29,0,19,262,21,15
408,408,MEGHALAYA,16,4,14,2,22,11
409,409,MEGHALAYA,6,2,4,2,22,11
410,410,MEGHALAYA,19,10,4,6,22,9
411,411,MEGHALAYA,5,14,7,2,22,16
412,412,MEGHALAYA,20,10,8,4,22,16
413,413,MEGHALAYA,16,8,16,0,22,9
414,414,MEGHALAYA,22,4,12,0,22,12
415,415,MEGHALAYA,14,12,5,16,22,18
416,416,MIZORAM,12,12,8,2,23,10
417,417,MIZORAM,2,14,0,0,23,9
418,418,MIZORAM,3,12,0,2,23,17
419,419,MIZORAM,2,4,0,0,23,8
420,420,MIZORAM,5,6,0,0,23,16
421,421,MIZORAM,4,0,13,2,23,18
422,422,MIZORAM,2,6,1,0,23,7
423,423,MIZORAM,1,10,1,0,23,8
424,424,MIZORAM,1,4,23,6,23,17
425,425,NAGALAND,6,8,29,0,24,7
426,426,NAGALAND,1,0,0,0,24,18
427,427,NAGALAND,25,12,19,0,24,15
428,428,NAGALAND,12,2,5,0,24,14
429,429,NAGALAND,3,4,5,0,24,10
430,430,NAGALAND,0,0,1,0,24,8
431,431,NAGALAND,7,2,2,0,24,16
432,432,NAGALAND,1,0,2,0,24,19
433,433,NAGALAND,12,2,3,4,24,13
434,434,NAGALAND,4,4,3,0,24,13
435,435,NAGALAND,11,14,9,4,24,13
436,436,ODISHA,9,6,19,124,25,16
437,437,ODISHA,17,16,43,152,25,16
438,438,ODISHA,23,18,25,160,25,15
439,439,ODISHA,23,0,54,82,25,10
440,440,ODISHA,27,10,16,106,25,8
441,441,ODISHA,2,18,20,102,25,19
442,442,ODISHA,9,12,5,48,25,8
443,443,ODISHA,5,8,1,66,25,16
444,444,ODISHA,16,16,7,34,25,19
445,445,ODISHA,25,10,26,110,25,9
446,446,ODISHA,19,0,1,32,25,11
447,447,ODISHA,28,4,31,128,25,11
448,448,ODISHA,26,4,31,46,25,7
449,449,ODISHA,21,8,30,42,25,17
450,450,ODISHA,15,4,12,12,25,7
451,451,ODISHA,29,0,34,182,25,10
452,452,ODISHA,24,8,19,88,25,19
453,453,ODISHA,24,2,21,32,25,14
454,454,ODISHA,2,16,16,110,25,19
455,455,ODISHA,16,10,31,172,25,17
456,456,ODISHA,9,16,16,128,25,11
457,457,ODISHA,6,8,8,46,25,10
458,458,ODISHA,14,14,39,88,25,11
459,459,ODISHA,26,14,19,74,25,10
460,460,ODISHA,19,6,14,148,25,12
461,461,ODISHA,13,18,11,44,25,12
462,462,ODISHA,25,2,33,76,25,16
463,463,ODISHA,5,18,3,128,25,10
464,464,ODISHA,20,4,21,22,25,18
465,465,ODISHA,9,16,50,112,25,11
466,466,ODISHA,9,16,6,34,25,19
467,467,ODISHA,3,2,8,2,25,16
468,468,ODISHA,7,4,10,14,25,8
469,469,ODISHA,12,12,38,108,25,16
470,470,ODISHA,27,0,58,2852,25,10
471,471,PUNJAB,6,18,6,0,27,19
472,472,PUNJAB,15,4,0,0,27,11
473,473,PUNJAB,18,16,2,0,27,10
474,474,PUNJAB,25,6,1,0,27,9
475,475,PUNJAB,12,12,1,0,27,15
476,476,PUNJAB,16,2,5,0,27,13
477,477,PUNJAB,20,4,5,0,27,10
478,478,PUNJAB,10,0,3,0,27,17
479,479,PUNJAB,22,4,4,0,27,13
480,480,PUNJAB,17,18,10,0,27,19
481,481,PUNJAB,27,18,5,0,27,14
482,482,PUNJAB,14,2,6,0,27,13
483,483,PUNJAB,20,16,5,0,27,9
484,484,PUNJAB,17,12,6,2,27,16
485,485,PUNJAB,14,16,23,0,27,14
486,486,PUNJAB,26,18,1,0,27,11
487,487,PUNJAB,25,12,0,0,27,10
488,488,PUNJAB,23,2,6,0,27,14
489,489,PUNJAB,19,6,1,0,27,17
490,490,PUNJAB,17,2,5,0,27,17
491,491,PUNJAB,26,6,16,0,27,7
492,492,PUNJAB,26,12,1,0,27,9
493,493,PUNJAB,16,10,13,0,27,8
494,494,PUNJAB,7,0,6,0,27,8
495,495,PUNJAB,18,16,11,2,27,17
496,496,RAJASTHAN,9,12,46,224,28,15
497,497,RAJASTHAN,25,8,52,890,28,7
498,498,RAJASTHAN,10,0,23,854,28,13
499,499,RAJASTHAN,6,2,32,334,28,19
500,500,RAJASTHAN,11,6,12,134,28,17
501,501,RAJASTHAN,15,16,41,890,28,19
502,502,RAJASTHAN,4,4,49,514,28,16
503,503,RAJASTHAN,21,10,4,216,28,18
504,504,RAJASTHAN,3,12,33,458,28,8
505,505,RAJASTHAN,11,14,47,1014,28,10
506,506,RAJASTHAN,26,8,11,396,28,7
507,507,RAJASTHAN,28,18,14,1434,28,8
508,508,RAJASTHAN,12,8,27,1104,28,17
509,509,RAJASTHAN,1,14,8,414,28,12
510,510,RAJASTHAN,3,2,12,32,28,9
511,511,RAJASTHAN,21,10,14,72,28,11
512,512,RAJASTHAN,26,10,12,270,28,18
513,513,RAJASTHAN,1,2,19,6362,28,13
514,514,RAJASTHAN,9,4,4,56,28,7
515,515,RAJASTHAN,17,0,11,88,28,18
516,516,RAJASTHAN,8,10,45,412,28,17
517,517,RAJASTHAN,7,18,6,524,28,13
518,518,RAJASTHAN,0,0,43,344,28,14
519,519,RAJASTHAN,5,2,12,268,28,8
520,520,RAJASTHAN,28,0,26,458,28,11
521,521,RAJASTHAN,18,4,23,114,28,12
522,522,RAJASTHAN,13,10,14,276,28,13
523,523,RAJASTHAN,15,6,7,606,28,12
524,524,RAJASTHAN,23,18,31,360,28,19
525,525,RAJASTHAN,16,6,14,1882,28,19
526,526,RAJASTHAN,1,4,16,208,28,11
527,527,RAJASTHAN,19,14,19,350,28,9
528,528,RAJASTHAN,7,6,42,870,28,11
529,529,RAJASTHAN,29,18,49,22428,28,18
530,530,SIKKIM,13,14,2,2,29,8
531,531,SIKKIM,1,0,0,0,29,9
532,532,SIKKIM,4,2,0,0,29,11
533,533,SIKKIM,1,0,1,4,29,12
534,534,SIKKIM,19,16,3,6,29,19
535,535,TAMIL NADU,24,12,3,202,30,12
536,536,TAMIL NADU,18,0,52,238,30,19
537,537,TAMIL NADU,1,16,7,210,30,15
538,538,TAMIL NADU,5,0,8,30,30,16
539,539,TAMIL NADU,17,16,41,910,30,14
540,540,TAMIL NADU,16,8,15,158,30,11
541,541,TAMIL NADU,0,12,33,500,30,12
542,542,TAMIL NADU,28,14,22,866,30,8
543,543,TAMIL NADU,12,8,13,138,30,14
544,544,TAMIL NADU,3,18,13,126,30,17
545,545,TAMIL NADU,15,2,10,162,30,18
546,546,TAMIL NADU,3,12,4,20,30,9
547,547,TAMIL NADU,28,8,9,60,30,13
548,548,TAMIL NADU,4,6,42,572,30,7
549,549,TAMIL NADU,4,4,33,180,30,7
550,550,TAMIL NADU,6,4,2,102,30,14
551,551,TAMIL NADU,6,14,6,112,30,12
552,552,TAMIL NADU,16,16,5,78,30,18
553,553,TAMIL NADU,10,6,2,112,30,14
554,554,TAMIL NADU,0,10,5,396,30,9
555,555,TAMIL NADU,3,6,4,410,30,18
556,556,TAMIL NADU,18,16,8,340,30,18
557,557,TAMIL NADU,12,4,20,84,30,15
558,558,TAMIL NADU,26,10,10,176,30,9
559,559,TAMIL NADU,19,0,16,300,30,16
560,560,TAMIL NADU,16,8,9,138,30,9
561,561,TAMIL NADU,14,14,27,194,30,7
562,562,TAMIL NADU,12,6,10,16,30,18
563,563,TAMIL NADU,4,12,11,402,30,17
