,STATE/UT,MURDER,RAPE,ROBBERY,RIOTS,StateLabel,Time
123,CHHATTISGARH,80,118,23,15,6,21
124,CHHATTISGARH,48,58,25,5,6,0
125,CHHATTISGARH,37,72,17,13,6,6
126,CHHATTISGARH,31,84,5,3,6,2
127,CHHATTISGARH,19,70,2,10,6,0
128,CHHATTISGARH,33,92,8,7,6,4
129,CHHATTISGARH,35,68,6,1,6,21
130,CHHATTISGARH,18,86,6,10,6,3
131,CHHATTISGARH,50,106,13,14,6,0
132,CHHATTISGARH,92,208,58,10,6,4
133,CHHATTISGARH,36,116,15,10,6,24
134,CHHATTISGARH,105,290,42,3,6,0
135,CHHATTISGARH,880,1918,338,11,6,2
136,GOA,22,8,10,13,10,1
137,GOA,14,16,15,11,10,4
138,GOA,36,24,25,4,10,2
139,GUJARAT,90,78,192,11,11,20
140,GUJARAT,26,10,25,10,11,21
141,GUJARAT,6,2,1,10,11,22
142,GUJARAT,41,4,25,12,11,5
143,GUJARAT,28,6,14,3,11,20
144,GUJARAT,37,8,17,4,11,5
145,GUJARAT,64,18,48,13,11,24
146,GUJARAT,36,10,44,9,11,6
147,GUJARAT,25,8,22,4,11,20
148,GUJARAT,55,34,29,5,11,21
149,GUJARAT,48,40,20,14,11,6
150,GUJARAT,56,28,52,8,11,1
151,GUJARAT,42,22,19,3,11,6
152,GUJARAT,34,4,11,15,11,4
153,GUJARAT,28,8,45,18,11,20
154,GUJARAT,16,16,0,9,11,2
155,GUJARAT,26,4,13,2,11,4
156,GUJARAT,52,36,47,14,11,3
157,GUJARAT,56,10,19,10,11,21
158,GUJARAT,24,6,19,18,11,4
159,GUJARAT,15,12,3,8,11,22
160,GUJARAT,29,10,31,10,11,2
161,GUJARAT,30,40,23,18,11,2
162,GUJARAT,98,22,59,7,11,21
163,GUJARAT,62,52,28,10,11,1
164,GUJARAT,38,22,13,13,11,6
165,GUJARAT,34,6,39,11,11,1
166,GUJARAT,71,36,21,14,11,1
167,GUJARAT,44,18,25,0,11,21
168,GUJARAT,15,2,87,7,11,23
169,GUJARAT,1226,572,191,10,11,1
170,HARYANA,26,22,18,5,12,3
171,HARYANA,40,20,19,9,12,6
172,HARYANA,68,74,44,13,12,24
173,HARYANA,18,34,11,11,12,5
174,HARYANA,24,0,5,9,12,22
175,HARYANA,69,64,51,18,12,21
176,HARYANA,45,20,27,8,12,0
177,HARYANA,48,42,25,8,12,3
178,HARYANA,37,42,28,11,12,23
179,HARYANA,33,32,9,0,12,22
180,HARYANA,42,88,16,7,12,20
181,HARYANA,20,62,13,0,12,20
182,HARYANA,26,22,1,7,12,1
183,HARYANA,12,12,5,1,12,2
184,HARYANA,43,76,47,15,12,20
185,HARYANA,21,22,7,19,12,20
186,HARYANA,57,56,29,17,12,0
187,HARYANA,37,34,5,4,12,3
188,HARYANA,73,30,28,6,12,1
189,HARYANA,42,44,9,2,12,4
190,HARYANA,781,796,397,10,12,3
191,HIMACHAL PRADESH,8,10,3,16,13,5
192,HIMACHAL PRADESH,13,24,1,6,13,22
193,HIMACHAL PRADESH,1,0,0,1,13,0
194,HIMACHAL PRADESH,2,6,1,6,13,23
195,HIMACHAL PRADESH,24,36,4,5,13,4
196,HIMACHAL PRADESH,5,12,0,4,13,2
197,HIMACHAL PRADESH,13,26,1,7,13,24
198,HIMACHAL PRADESH,1,4,1,2,13,23
199,HIMACHAL PRADESH,18,32,3,3,13,6
200,HIMACHAL PRADESH,14,36,7,2,13,0
201,HIMACHAL PRADESH,3,20,4,16,13,0
202,HIMACHAL PRADESH,11,24,1,2,13,3
203,HIMACHAL PRADESH,6,18,2,18,13,3
204,HIMACHAL PRADESH,119,248,28,8,13,2
205,JAMMU & KASHMIR,74,12,16,7,14,23
206,JAMMU & KASHMIR,25,2,4,10,14,0
207,JAMMU & KASHMIR,144,56,16,6,14,0
208,JAMMU & KASHMIR,6,24,0,15,14,1
209,JAMMU & KASHMIR,78,14,2,8,14,2
210,JAMMU & KASHMIR,0,0,0,0,14,23
211,JAMMU & KASHMIR,0,0,0,0,14,2
212,JAMMU & KASHMIR,104,14,6,17,14,20
213,JAMMU & KASHMIR,24,10,0,10,14,22
214,JAMMU & KASHMIR,27,26,4,3,14,21
215,JAMMU & KASHMIR,0,0,0,5,14,0
216,JAMMU & KASHMIR,16,26,2,3,14,1
217,JAMMU & KASHMIR,39,12,17,17,14,3
218,JAMMU & KASHMIR,141,12,1,14,14,22
219,JAMMU & KASHMIR,3,0,0,5,14,6
220,JAMMU & KASHMIR,100,26,0,10,14,22
221,JAMMU & KASHMIR,46,14,27,7,14,22
222,JAMMU & KASHMIR,1,0,0,0,14,2
223,JAMMU & KASHMIR,76,34,4,3,14,22
224,JAMMU & KASHMIR,51,6,1,2,14,3
225,JAMMU & KASHMIR,36,14,0,6,14,6
226,JAMMU & KASHMIR,63,16,59,18,14,0
227,JAMMU & KASHMIR,21,20,2,6,14,0
228,JAMMU & KASHMIR,1075,338,161,12,14,23
229,JHARKHAND,70,52,66,19,15,3
230,JHARKHAND,109,64,9,2,15,4
231,JHARKHAND,40,12,15,10,15,24
232,JHARKHAND,47,44,15,18,15,21
233,JHARKHAND,97,64,48,5,15,5
234,JHARKHAND,11,4,13,4,15,20
235,JHARKHAND,63,54,8,15,15,20
236,JHARKHAND,32,22,17,13,15,21
237,JHARKHAND,63,84,27,13,15,23
238,JHARKHAND,61,74,18,10,15,0
239,JHARKHAND,136,58,44,0,15,24
240,JHARKHAND,76,82,68,8,15,0
241,JHARKHAND,81,100,27,11,15,21
242,JHARKHAND,4,2,4,2,15,21
243,JHARKHAND,22,36,9,1,15,6
244,JHARKHAND,21,4,15,0,15,23
245,JHARKHAND,54,24,9,7,15,22
246,JHARKHAND,33,24,11,9,15,0
247,JHARKHAND,31,46,5,19,15,0
248,JHARKHAND,73,30,32,0,15,21
249,JHARKHAND,243,146,140,6,15,4
250,JHARKHAND,47,40,8,12,15,24
251,JHARKHAND,44,34,12,9,15,20
252,JHARKHAND,49,34,27,5,15,24
253,JHARKHAND,1507,1134,247,18,15,20
254,KARNATAKA,59,4,3,18,16,0
255,KARNATAKA,221,80,284,18,16,0
256,KARNATAKA,137,26,32,18,16,0
257,KARNATAKA,120,16,47,9,16,20
258,KARNATAKA,58,32,20,0,16,4
259,KARNATAKA,48,14,36,3,16,20
260,KARNATAKA,51,12,21,16,16,22
261,KARNATAKA,19,8,9,7,16,24
262,KARNATAKA,41,16,10,7,16,3
263,KARNATAKA,31,36,20,9,16,22
264,KARNATAKA,33,6,8,7,16,5
265,KARNATAKA,58,44,26,17,16,22
266,KARNATAKA,16,8,34,8,16,1
267,KARNATAKA,25,6,5,10,16,20
268,KARNATAKA,22,4,13,9,16,20
269,KARNATAKA,95,40,61,3,16,0
270,KARNATAKA,64,40,23,10,16,2
271,KARNATAKA,24,6,10,0,16,21
272,KARNATAKA,20,2,6,13,16,1
273,KARNATAKA,26,8,3,10,16,23
274,KARNATAKA,69,34,25,13,16,6
275,KARNATAKA,23,12,8,6,16,6
276,KARNATAKA,67,30,28,0,16,22
277,KARNATAKA,32,4,32,7,16,0
278,KARNATAKA,53,24,0,12,16,4
279,KARNATAKA,33,24,13,1,16,2
280,KARNATAKA,12,2,11,16,16,4
281,KARNATAKA,56,24,15,0,16,4
282,KARNATAKA,80,12,27,14,16,20
283,KARNATAKA,16,4,12,7,16,20
284,KARNATAKA,17,8,5,18,16,0
285,KARNATAKA,1626,586,47,6,16,22
286,KERALA,22,42,18,19,17,0
287,KERALA,22,4,1,6,17,24
288,KERALA,44,76,80,6,17,24
289,KERALA,33,68,16,1,17,4
290,KERALA,26,84,18,11,17,3
291,KERALA,18,56,9,3,17,22
292,KERALA,41,110,62,15,17,20
293,KERALA,34,44,54,7,17,21
294,KERALA,34,78,15,7,17,21
295,KERALA,23,142,11,3,17,4
296,KERALA,45,126,30,8,17,23
297,KERALA,20,24,7,4,17,23
298,KERALA,0,2,2,19,17,22
299,KERALA,42,84,82,17,17,1
300,KERALA,53,114,104,12,17,20
301,KERALA,15,70,8,10,17,23
302,KERALA,472,1124,117,8,17,3
303,MADHYA PRADESH,56,174,7,2,19,6
304,MADHYA PRADESH,41,68,18,15,19,4
305,MADHYA PRADESH,56,190,18,9,19,0
306,MADHYA PRADESH,63,62,28,19,19,3
307,MADHYA PRADESH,61,212,99,17,19,3
308,MADHYA PRADESH,5,2,25,3,19,22
309,MADHYA PRADESH,54,130,42,4,19,2
310,MADHYA PRADESH,78,186,18,6,19,22
311,MADHYA PRADESH,43,132,24,14,19,21
312,MADHYA PRADESH,53,24,26,10,19,20
313,MADHYA PRADESH,50,156,67,19,19,1
314,MADHYA PRADESH,89,136,35,8,19,23
315,MADHYA PRADESH,13,40,2,6,19,20
316,MADHYA PRADESH,71,248,50,11,19,2
317,MADHYA PRADESH,84,118,144,10,19,1
318,MADHYA PRADESH,14,56,3,3,19,22
319,MADHYA PRADESH,53,130,31,13,19,2
320,MADHYA PRADESH,111,168,112,9,19,21
321,MADHYA PRADESH,6,4,7,2,19,23
322,MADHYA PRADESH,103,216,126,12,19,3
323,MADHYA PRADESH,3,0,15,1,19,0
324,MADHYA PRADESH,124,88,20,14,19,6
325,MADHYA PRADESH,51,50,29,13,19,1
326,MADHYA PRADESH,41,126,11,4,19,4
327,MADHYA PRADESH,47,94,21,0,19,0
328,MADHYA PRADESH,35,128,11,18,19,5
329,MADHYA PRADESH,28,82,32,16,19,22
330,MADHYA PRADESH,63,70,76,18,19,20
331,MADHYA PRADESH,38,140,11,12,19,24
332,MADHYA PRADESH,17,74,15,5,19,5
333,MADHYA PRADESH,24,88,10,14,19,20
334,MADHYA PRADESH,39,158,27,19,19,0
335,MADHYA PRADESH,42,190,35,1,19,21
336,MADHYA PRADESH,58,140,54,2,19,1
337,MADHYA PRADESH,53,62,67,9,19,24
338,MADHYA PRADESH,84,282,53,11,19,21
339,MADHYA PRADESH,49,116,52,7,19,20
340,MADHYA PRADESH,40,104,6,9,19,1
341,MADHYA PRADESH,57,126,34,4,19,0
342,MADHYA PRADESH,42,180,47,12,19,5
343,MADHYA PRADESH,24,42,10,18,19,0
344,MADHYA PRADESH,88,144,48,0,19,20
345,MADHYA PRADESH,36,84,15,13,19,5
346,MADHYA PRADESH,35,118,19,13,19,20
347,MADHYA PRADESH,53,172,46,10,19,1
348,MADHYA PRADESH,84,118,79,13,19,24
349,MADHYA PRADESH,19,50,19,10,19,23
350,MADHYA PRADESH,47,224,20,17,19,3
351,MADHYA PRADESH,2425,5702,164,15,19,24
352,MAHARASHTRA,97,88,104,6,20,5
353,MAHARASHTRA,64,30,41,19,20,6
354,MAHARASHTRA,44,46,48,15,20,3
355,MAHARASHTRA,72,84,36,12,20,22
356,MAHARASHTRA,36,28,40,10,20,22
357,MAHARASHTRA,61,56,49,19,20,21
358,MAHARASHTRA,68,44,62,12,20,2
359,MAHARASHTRA,32,78,15,3,20,23
360,MAHARASHTRA,49,44,27,6,20,24
361,MAHARASHTRA,49,86,36,10,20,2
362,MAHARASHTRA,48,32,13,6,20,24
363,MAHARASHTRA,47,54,15,8,20,4
364,MAHARASHTRA,41,46,13,0,20,1
365,MAHARASHTRA,36,40,39,16,20,1
366,MAHARASHTRA,83,38,30,17,20,4
367,MAHARASHTRA,43,32,46,0,20,1
368,MAHARASHTRA,54,52,32,9,20,2
369,MAHARASHTRA,42,14,31,11,20,21
370,MAHARASHTRA,295,254,6,16,20,22
371,MAHARASHTRA,12,4,29,13,20,23
372,MAHARASHTRA,112,78,171,15,20,21
373,MAHARASHTRA,12,4,20,18,20,4
374,MAHARASHTRA,101,162,58,0,20,21
375,MAHARASHTRA,80,46,93,17,20,21
376,MAHARASHTRA,44,32,5,0,20,2
377,MAHARASHTRA,25,18,16,19,20,2
378,MAHARASHTRA,92,78,36,18,20,22
379,MAHARASHTRA,34,34,62,0,20,21
380,MAHARASHTRA,48,32,29,1,20,2
381,MAHARASHTRA,49,50,43,8,20,20
382,MAHARASHTRA,71,112,98,3,20,4
383,MAHARASHTRA,4,0,4,3,20,0
384,MAHARASHTRA,119,84,70,10,20,1
385,MAHARASHTRA,53,40,27,4,20,2
386,MAHARASHTRA,17,20,14,9,20,0
387,MAHARASHTRA,85,64,27,8,20,1
388,MAHARASHTRA,57,64,20,13,20,21
389,MAHARASHTRA,14,14,4,17,20,3
390,MAHARASHTRA,30,32,32,10,20,3
391,MAHARASHTRA,101,70,29,2,20,22
392,MAHARASHTRA,133,78,146,3,20,3
393,MAHARASHTRA,140,130,53,8,20,1
394,MAHARASHTRA,60,70,20,14,20,6
395,MAHARASHTRA,29,30,17,5,20,22
396,MAHARASHTRA,56,112,33,6,20,22
397,MAHARASHTRA,2839,2604,239,19,20,1
398,MANIPUR,29,2,2,11,21,22
399,MANIPUR,7,0,4,0,21,23
400,MANIPUR,35,2,0,0,21,24
401,MANIPUR,29,14,1,4,21,5
402,MANIPUR,44,14,2,3,21,21
403,MANIPUR,27,0,1,2,21,22
404,MANIPUR,2,0,0,0,21,21
405,MANIPUR,32,8,6,11,21,4
406,MANIPUR,4,0,3,0,21,3
407,MANIPUR,209,40,19,11,21,3
408,MEGHALAYA,16,4,14,1,22,0
409,MEGHALAYA,6,2,4,1,22,5
410,MEGHALAYA,19,10,4,3,22,5
411,MEGHALAYA,35,14,7,1,22,4
412,MEGHALAYA,50,10,68,2,22,4
413,MEGHALAYA,16,8,16,0,22,5
414,MEGHALAYA,22,4,12,0,22,22
415,MEGHALAYA,164,52,125,8,22,4
416,MIZORAM,12,52,8,1,23,20
417,MIZORAM,2,14,0,0,23,1
418,MIZORAM,3,12,0,1,23,6
419,MIZORAM,2,4,0,0,23,21
420,MIZORAM,5,6,0,0,23,6
421,MIZORAM,4,0,13,1,23,6
422,MIZORAM,2,6,1,0,23,22
423,MIZORAM,1,10,1,0,23,23
424,MIZORAM,31,104,23,3,23,6
425,NAGALAND,36,8,89,0,24,4
426,NAGALAND,1,0,0,0,24,5
427,NAGALAND,25,12,19,0,24,24
428,NAGALAND,12,2,5,0,24,22
429,NAGALAND,3,4,5,0,24,5
430,NAGALAND,0,0,1,0,24,22
431,NAGALAND,7,2,2,0,24,22
432,NAGALAND,1,0,2,0,24,1
433,NAGALAND,12,2,3,2,24,22
434,NAGALAND,4,4,3,0,24,0
435,NAGALAND,101,34,129,2,24,3
436,ODISHA,39,66,19,2,25,24
437,ODISHA,17,116,43,16,25,6
438,ODISHA,23,38,25,0,25,2
439,ODISHA,23,20,54,1,25,20
440,ODISHA,27,70,16,13,25,6
441,ODISHA,32,38,20,11,25,20
442,ODISHA,9,12,5,4,25,21
443,ODISHA,35,68,121,13,25,21
444,ODISHA,16,16,7,17,25,4
445,ODISHA,25,30,26,15,25,23
446,ODISHA,19,20,1,16,25,1
447,ODISHA,58,44,31,4,25,22
448,ODISHA,26,24,31,3,25,20
449,ODISHA,21,48,30,1,25,6
450,ODISHA,15,24,12,6,25,1
451,ODISHA,29,60,34,11,25,4
452,ODISHA,24,68,19,4,25,24
453,ODISHA,24,22,21,16,25,6
454,ODISHA,62,76,16,15,25,6
455,ODISHA,46,130,151,6,25,0
456,ODISHA,39,76,16,4,25,5
457,ODISHA,36,28,8,3,25,6
458,ODISHA,74,154,39,4,25,6
459,ODISHA,26,34,19,17,25,24
460,ODISHA,19,26,14,14,25,3
461,ODISHA,13,18,11,2,25,1
462,ODISHA,25,82,33,18,25,24
463,ODISHA,35,18,3,4,25,3
464,ODISHA,20,24,21,11,25,20
465,ODISHA,39,36,50,16,25,3
466,ODISHA,9,16,6,17,25,4
467,ODISHA,3,2,8,1,25,0
468,ODISHA,7,4,10,7,25,0
469,ODISHA,72,72,38,14,25,22
470,ODISHA,987,1580,158,6,25,5
471,PUNJAB,36,18,6,0,27,0
472,PUNJAB,15,24,0,0,27,21
473,PUNJAB,18,16,2,0,27,22
474,PUNJAB,25,26,1,0,27,5
475,PUNJAB,12,12,1,0,27,6
476,PUNJAB,16,22,5,0,27,5
477,PUNJAB,50,44,5,0,27,2
478,PUNJAB,10,0,3,0,27,1
479,PUNJAB,22,24,4,0,27,2
480,PUNJAB,47,38,10,0,27,4
481,PUNJAB,27,38,5,0,27,4
482,PUNJAB,74,42,6,0,27,2
483,PUNJAB,20,16,5,0,27,3
484,PUNJAB,17,12,6,1,27,5
485,PUNJAB,74,76,23,0,27,21
486,PUNJAB,26,18,1,0,27,4
487,PUNJAB,25,12,0,0,27,1
488,PUNJAB,23,22,6,0,27,1
489,PUNJAB,19,6,1,0,27,22
490,PUNJAB,17,22,5,0,27,4
491,PUNJAB,56,46,16,0,27,24
492,PUNJAB,26,12,1,0,27,5
493,PUNJAB,46,30,13,0,27,2
494,PUNJAB,37,20,6,0,27,21
495,PUNJAB,738,596,131,1,27,20
496,RAJASTHAN,39,32,46,12,28,0
497,RAJASTHAN,85,68,52,5,28,5
498,RAJASTHAN,40,180,23,7,28,20
499,RAJASTHAN,36,162,32,7,28,22
500,RAJASTHAN,11,26,12,7,28,5
501,RAJASTHAN,75,96,41,5,28,2
502,RAJASTHAN,34,84,49,17,28,5
503,RAJASTHAN,21,70,4,8,28,6
504,RAJASTHAN,33,72,33,9,28,0
505,RAJASTHAN,41,134,47,7,28,24
506,RAJASTHAN,26,48,11,18,28,6
507,RAJASTHAN,28,18,14,17,28,23
508,RAJASTHAN,42,48,27,12,28,20
509,RAJASTHAN,31,34,8,7,28,3
510,RAJASTHAN,3,2,12,16,28,21
511,RAJASTHAN,51,110,14,16,28,23
512,RAJASTHAN,56,70,12,15,28,5
513,RAJASTHAN,91,122,79,1,28,22
514,RAJASTHAN,9,4,4,8,28,1
515,RAJASTHAN,17,20,11,4,28,4
516,RAJASTHAN,38,130,45,6,28,2
517,RAJASTHAN,37,38,6,2,28,2
518,RAJASTHAN,30,40,43,12,28,0
519,RAJASTHAN,35,42,12,14,28,6
520,RAJASTHAN,58,100,86,9,28,24
521,RAJASTHAN,48,44,23,17,28,23
522,RAJASTHAN,43,50,14,18,28,5
523,RAJASTHAN,15,26,7,3,28,20
524,RAJASTHAN,23,38,31,0,28,6
525,RAJASTHAN,46,26,14,1,28,5
526,RAJASTHAN,31,44,16,4,28,22
527,RAJASTHAN,19,34,19,15,28,1
528,RAJASTHAN,67,86,42,15,28,5
529,RAJASTHAN,1259,2098,89,14,28,6
530,SIKKIM,13,14,2,1,29,3
531,SIKKIM,1,0,0,0,29,2
532,SIKKIM,4,2,0,0,29,24
533,SIKKIM,1,0,1,2,29,23
534,SIKKIM,19,16,3,3,29,2
535,TAMIL NADU,24,12,3,1,30,2
536,TAMIL NADU,78,40,52,19,30,22
537,TAMIL NADU,91,56,127,5,30,24
538,TAMIL NADU,5,0,8,15,30,4
539,TAMIL NADU,77,36,41,15,30,6
540,TAMIL NADU,16,8,15,19,30,20
541,TAMIL NADU,60,32,33,10,30,1
542,TAMIL NADU,88,34,22,13,30,24
543,TAMIL NADU,72,28,13,9,30,24
544,TAMIL NADU,63,18,13,3,30,2
545,TAMIL NADU,45,42,10,1,30,20
546,TAMIL NADU,33,12,4,10,30,24
547,TAMIL NADU,28,8,9,10,30,22
548,TAMIL NADU,64,26,42,6,30,23
549,TAMIL NADU,34,4,33,10,30,20
550,TAMIL NADU,36,24,2,11,30,2
551,TAMIL NADU,36,14,6,16,30,4
552,TAMIL NADU,16,16,5,19,30,4
553,TAMIL NADU,10,6,2,16,30,6
554,TAMIL NADU,30,10,5,18,30,1
555,TAMIL NADU,33,26,4,5,30,3
556,TAMIL NADU,78,16,8,10,30,23
557,TAMIL NADU,12,4,20,2,30,20
558,TAMIL NADU,26,10,10,8,30,24
559,TAMIL NADU,49,0,16,10,30,23
560,TAMIL NADU,16,8,9,9,30,5
561,TAMIL NADU,74,114,27,17,30,4
562,TAMIL NADU,12,6,10,8,30,22
563,TAMIL NADU,34,32,11,1,30,0
564,TAMIL NADU,44,10,14,18,30,2
565,TAMIL NADU,31,14,6,19,30,2
566,TAMIL NADU,69,24,34,12,30,0
567,TAMIL NADU,0,0,1,4,30,2
568,TAMIL NADU,52,12,0,15,30,3
569,TAMIL NADU,24,10,6,10,30,3
570,TAMIL NADU,78,26,25,0,30,3
571,TAMIL NADU,67,74,7,3,30,20
572,TAMIL NADU,57,34,19,19,30,3
573,TAMIL NADU,1662,846,272,16,30,24
574,TRIPURA,35,22,4,15,31,2
575,TRIPURA,38,58,19,9,31,0
576,TRIPURA,42,58,8,17,31,20
577,TRIPURA,125,66,32,17,31,3
578,TRIPURA,240,204,63,18,31,4
579,UTTAR PRADESH,153,132,171,17,32,20
580,UTTAR PRADESH,229,100,182,6,32,5
581,UTTAR PRADESH,167,84,81,0,32,6
582,UTTAR PRADESH,46,38,22,4,32,6
583,UTTAR PRADESH,53,22,24,4,32,20
584,UTTAR PRADESH,120,22,80,7,32,23
585,UTTAR PRADESH,239,94,67,4,32,0
586,UTTAR PRADESH,89,30,54,15,32,3
587,UTTAR PRADESH,43,28,20,10,32,5
588,UTTAR PRADESH,55,36,14,19,32,4
589,UTTAR PRADESH,26,16,4,5,32,24
590,UTTAR PRADESH,75,54,31,12,32,21
591,UTTAR PRADESH,88,82,50,1,32,21
592,UTTAR PRADESH,272,186,138,3,32,5
593,UTTAR PRADESH,48,36,28,6,32,22
594,UTTAR PRADESH,124,76,56,0,32,23
595,UTTAR PRADESH,250,62,103,10,32,22
596,UTTAR PRADESH,35,8,18,16,32,5
597,UTTAR PRADESH,28,16,3,15,32,20
598,UTTAR PRADESH,48,14,26,16,32,20
599,UTTAR PRADESH,240,114,79,19,32,23
600,UTTAR PRADESH,82,40,32,10,32,24
601,UTTAR PRADESH,77,44,44,12,32,2
602,UTTAR PRADESH,120,18,18,13,32,3
603,UTTAR PRADESH,132,56,36,2,32,5
604,UTTAR PRADESH,135,44,72,7,32,2
605,UTTAR PRADESH,31,4,49,13,32,1
606,UTTAR PRADESH,92,32,47,1,32,22
607,UTTAR PRADESH,230,62,117,3,32,4
608,UTTAR PRADESH,46,12,17,10,32,22
609,UTTAR PRADESH,68,36,32,4,32,6
610,UTTAR PRADESH,96,26,38,17,32,20
611,UTTAR PRADESH,66,28,31,15,32,0
